Removed Pin From Net: NetName=NetJ1_2 Pin=J2-1
Removed Pin From Net: NetName=NetD1_2 Pin=Q5-1
Removed Pin From Net: NetName=NetD3_2 Pin=Q5-3
Removed Pin From Net: NetName=NetD2_2 Pin=Q6-1
Removed Pin From Net: NetName=NetD4_2 Pin=Q6-3
Change Component DesignItemId : Designator=J1 Old DesignItemId= New DesignItemId=M20-9990246
Change Component DesignItemId : Designator=J2 Old DesignItemId=PJ-042H New DesignItemId=PJ-080BH
Change Component DesignItemId : Designator=Q5 Old DesignItemId=ZXTN19055DZTA New DesignItemId=BC63916-D74Z
Change Component DesignItemId : Designator=Q6 Old DesignItemId=ZXTN19055DZTA New DesignItemId=BC63916-D74Z
Change Component Footprint: Designator=J2 Old Footprint=CUI_PJ-042H New Footprint=CUI_PJ-080BH
Change Component Footprint: Designator=Q5 Old Footprint=VREG_AP2204RA-3.3TRG1 New Footprint=TO92127P478H483-3
Change Component Footprint: Designator=Q6 Old Footprint=VREG_AP2204RA-3.3TRG1 New Footprint=TO92127P478H483-3
Change Component Comment : Designator=J2 Old Comment=PJ-042H New Comment=PJ-080BH
Change Component Comment : Designator=Q5 Old Comment=ZXTN19055DZTA New Comment=BC63916-D74Z
Change Component Comment : Designator=Q6 Old Comment=ZXTN19055DZTA New Comment=BC63916-D74Z
Change Component Description : Designator=J2 Old Description=1.65 x 5.15 mm, 5.0 A, Horizontal, Through Hole, Kinked Pins, Dc Power Jack Connector New Description=Power Barrel Connector Jack 2.50mm ID (0.098"), 5.50mm OD (0.217") Through Hole,
Change Component Description : Designator=Q5 Old Description=TRANS NPN 55V 6A SOT89 New Description=NPN Medium Power Transistor
Change Component Description : Designator=Q6 Old Description=TRANS NPN 55V 6A SOT89 New Description=NPN Medium Power Transistor
Change Component Library : Designator=Q5 Old Library=lib_station_de_charge.SchLib New Library=station_de_charge_SchLib.SchLib
Change Component Library : Designator=Q6 Old Library=lib_station_de_charge.SchLib New Library=station_de_charge_SchLib.SchLib
Change component parameters: Designator = "J2" ("J2"); Footprint = "CUI_PJ-042H"; UniqueID = "\QSTLYYNG" ("\QSTLYYNG")
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "216619"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "771-PMEG4050EP115"; VariantName = "[No Variations]"
Added Component: Designator=D9(FP-SOD128-MFG)
Add component (AddParameter): Name = "Category"; Value = "Rectifier Diodes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/609330.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/609330.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.farnell.com/datasheets/609330.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.farnell.com/datasheets/609330.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://www.mouser.com/ds/2/302/PMEG4050EP-1151641.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://www.mouser.com/ds/2/302/PMEG4050EP-1151641.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "http://www.farnell.com/datasheets/609330.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "http://www.farnell.com/datasheets/609330.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = "https://assets.nexperia.com/documents/data-sheet/PMEG4050EP.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = "https://assets.nexperia.com/documents/data-sheet/PMEG4050EP.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Nexperia"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "PMEG4050EP,115"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0,55000, 10=0,47100, 50=0,47100, 100=0,35200, 1000=0,21400, 10000=0,17700 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "216619"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "771-PMEG4050EP115"; VariantName = "[No Variations]"
Added Component: Designator=D10(FP-SOD128-MFG)
Add component (AddParameter): Name = "Category"; Value = "Rectifier Diodes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/609330.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/609330.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.farnell.com/datasheets/609330.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.farnell.com/datasheets/609330.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://www.mouser.com/ds/2/302/PMEG4050EP-1151641.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://www.mouser.com/ds/2/302/PMEG4050EP-1151641.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "http://www.farnell.com/datasheets/609330.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "http://www.farnell.com/datasheets/609330.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = "https://assets.nexperia.com/documents/data-sheet/PMEG4050EP.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = "https://assets.nexperia.com/documents/data-sheet/PMEG4050EP.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Nexperia"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "PMEG4050EP,115"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0,55000, 10=0,47100, 50=0,47100, 100=0,35200, 1000=0,21400, 10000=0,17700 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "216619"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "771-PMEG4050EP115"; VariantName = "[No Variations]"
Added Component: Designator=L4(IND_HCTI-220-5.8)
Add component (AddParameter): Name = "Case/Package"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Fixed Inductors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/11798/0900766b80fa5688-11798051.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/11798/0900766b80fa5688-11798051.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/6690/2200-series-6690646.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/6690/2200-series-6690646.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/28654/2200-series-28654982.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/28654/2200-series-28654982.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/3076/2200-series-3076522.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/3076/2200-series-3076522.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Core Material"; Value = "Ferrite"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "4.4A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Current"; Value = "4.4A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance (DCR)"; Value = "56mR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "13.97mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diameter"; Value = "0.95inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.55inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance"; Value = "100uH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance Tolerance"; Value = "15%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Diameter"; Value = "0.86mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "11.176mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead/Base Style"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Bourns JW Miller"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "2212-V-RC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max DC Current"; Value = "4.4A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "105°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole,Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "77"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=4,88000, 10=4,48000, 50=3,72000, 100=2,93000, 1000=2,93000, 10000=2,93000 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RMS Current (Irms)"; Value = "4.4A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "2200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Shielding"; Value = "Shielded"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "1501"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "542-2212-V-RC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Test Frequency"; Value = "1kHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "15%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.55inch"; VariantName = "[No Variations]"
Added Component: Designator=L5(loop)
Added Component: Designator=P1(691313710002)
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://katalog.we-online.de/em/datasheet/6913137100xx.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gender"; Value = "Male"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Wurth Elektronik"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.we-online.de"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "THT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-40to105degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "691313710002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Box"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "691313710002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Number"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "5.00mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "WurthElektronik"; VariantName = "[No Variations]"
Added Component: Designator=Q9(ONSC-TO-220-3-221A-09)
Add component (AddParameter): Name = "Case/Package"; Value = "TO-220-3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "BJTs"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Collector Base Voltage (VCBO)"; Value = "90V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Collector Emitter Breakdown Voltage"; Value = "80V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Collector Emitter Saturation Voltage"; Value = "3.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Collector Emitter Voltage (VCEO)"; Value = "80V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Collector-emitter Voltage-Max"; Value = "3.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/15138/getdatasheetpartid-42144-15138735.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/15138/getdatasheetpartid-42144-15138735.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/978/2n6487-d-978689.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/978/2n6487-d-978689.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/1260/2n6487-d-1260672.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/1260/2n6487-d-1260672.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/30480/0900766b8126cbeb-30480658.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/30480/0900766b8126cbeb-30480658.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/1215/79212-1215972.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/1215/79212-1215972.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6Description"; Value = "https://datasheet.ciiva.com/3303/2n6487-d-3303896.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6URL"; Value = "https://datasheet.ciiva.com/3303/2n6487-d-3303896.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin,Matte"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "15A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Emitter Base Voltage (VEBO)"; Value = "5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency"; Value = "5MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gain Bandwidth Product"; Value = "5MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "15.75mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "hFE Min"; Value = "20"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "10.28mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "2N6491G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Collector Current"; Value = "15A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Frequency"; Value = "5MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "1.8W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-65°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "50"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Rail/Tube"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarity"; Value = "PNP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "1.8W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=1,12000, 10=1,01000, 50=0,95200, 100=0,95200, 1000=0,95200, 10000=0,95200 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "1110"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "863-2N6491G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Transition Frequency"; Value = "5MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "-80V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.01lb"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "4.82mm"; VariantName = "[No Variations]"
Added Component: Designator=Q10(ONSC-TO-220-3-221A-09)
Add component (AddParameter): Name = "Case/Package"; Value = "TO-220-3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "BJTs"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Collector Base Voltage (VCBO)"; Value = "90V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Collector Emitter Breakdown Voltage"; Value = "80V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Collector Emitter Saturation Voltage"; Value = "3.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Collector Emitter Voltage (VCEO)"; Value = "80V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Collector-emitter Voltage-Max"; Value = "3.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/15138/getdatasheetpartid-42144-15138735.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/15138/getdatasheetpartid-42144-15138735.pdf?src-supplier=Verical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/978/2n6487-d-978689.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/978/2n6487-d-978689.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/1260/2n6487-d-1260672.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/1260/2n6487-d-1260672.pdf?src-supplier=Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/30480/0900766b8126cbeb-30480658.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/30480/0900766b8126cbeb-30480658.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/1215/79212-1215972.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/1215/79212-1215972.pdf?src-supplier=Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6Description"; Value = "https://datasheet.ciiva.com/3303/2n6487-d-3303896.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6URL"; Value = "https://datasheet.ciiva.com/3303/2n6487-d-3303896.pdf?src-supplier=Avnet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin,Matte"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "15A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Emitter Base Voltage (VEBO)"; Value = "5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency"; Value = "5MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gain Bandwidth Product"; Value = "5MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "15.75mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "hFE Min"; Value = "20"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "10.28mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "2N6491G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Collector Current"; Value = "15A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Frequency"; Value = "5MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "150°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "1.8W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-65°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "50"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Rail/Tube"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarity"; Value = "PNP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Dissipation"; Value = "1.8W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=1,12000, 10=1,01000, 50=0,95200, 100=0,95200, 1000=0,95200, 10000=0,95200 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "1110"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "863-2N6491G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Transition Frequency"; Value = "5MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "-80V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.01lb"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "4.82mm"; VariantName = "[No Variations]"
Added Component: Designator=R13(SQP500JB-68R)
Add component (AddParameter): Name = "Case/Package"; Value = "Axial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Through-Hole Resistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/2757/yageolr-sqpnsp-2013-2757217.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/2757/yageolr-sqpnsp-2013-2757217.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Moisture Resistant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "0.866inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
